User_ID,Age,Region,Date,Category,Amount,Transaction Type,Account Name,Description
1,32,urban,2020-01-05,Salary,5188.0,credit,Savings,Employer Direct Deposit
1,32,urban,2020-01-13,Shopping,242.13,debit,Credit Card,Target
1,32,urban,2020-01-13,Bills,138.99,debit,Credit Card,Verizon
1,32,urban,2020-01-13,Restaurants,216.75,debit,Credit Card,Subway
1,32,urban,2020-01-13,Travel,857.12,debit,Credit Card,Delta Airlines
1,32,urban,2020-01-16,Shopping,105.69,debit,Credit Card,Amazon
1,32,urban,2020-01-16,Travel,804.1,debit,Credit Card,Lyft
1,32,urban,2020-01-16,Healthcare,469.41,debit,Credit Card,CVS Pharmacy
1,32,urban,2020-01-16,Rent/Mortgage,1932.55,debit,Credit Card,Landlord Payment
1,32,urban,2020-01-26,Shopping,218.53,debit,Credit Card,Target
1,32,urban,2020-01-26,Bills,160.34,debit,Credit Card,National Grid
1,32,urban,2020-01-26,Restaurants,145.55,debit,Credit Card,Chipotle
1,32,urban,2020-01-26,Travel,597.94,debit,Credit Card,Uber
1,32,urban,2020-02-05,Salary,5188.0,credit,Savings,Employer Direct Deposit
1,32,urban,2020-02-07,Shopping,240.21,debit,Credit Card,Best Buy
1,32,urban,2020-02-07,Bills,473.14,debit,Credit Card,National Grid
1,32,urban,2020-02-07,Restaurants,135.99,debit,Credit Card,McDonald's
1,32,urban,2020-02-07,Travel,454.97,debit,Credit Card,Uber
1,32,urban,2020-02-07,Healthcare,52.13,debit,Credit Card,Health Insurance
1,32,urban,2020-02-07,Rent/Mortgage,1682.56,debit,Credit Card,Mortgage Company
1,32,urban,2020-02-09,Entertainment,118.75,debit,Credit Card,Spotify
1,32,urban,2020-02-09,Bills,441.23,debit,Credit Card,Eversource
1,32,urban,2020-02-09,Healthcare,347.89,debit,Credit Card,Walgreens
1,32,urban,2020-02-10,Bills,336.08,debit,Credit Card,Comcast
1,32,urban,2020-02-10,Restaurants,202.39,debit,Credit Card,Subway
1,32,urban,2020-02-10,Healthcare,145.41,debit,Credit Card,CVS Pharmacy
1,32,urban,2020-02-11,Bills,120.3,debit,Credit Card,Comcast
1,32,urban,2020-02-11,Restaurants,217.46,debit,Credit Card,Starbucks
1,32,urban,2020-02-11,Travel,703.72,debit,Credit Card,Uber
1,32,urban,2020-02-11,Healthcare,313.22,debit,Credit Card,Urgent Care
1,32,urban,2020-02-13,Shopping,208.25,debit,Credit Card,Walmart
1,32,urban,2020-02-13,Entertainment,128.86,debit,Credit Card,Netflix
1,32,urban,2020-02-13,Travel,184.89,debit,Credit Card,Lyft
1,32,urban,2020-02-13,Healthcare,487.32,debit,Credit Card,CVS Pharmacy
1,32,urban,2020-02-16,Shopping,465.18,debit,Credit Card,Target
1,32,urban,2020-02-16,Bills,460.68,debit,Credit Card,Comcast
1,32,urban,2020-02-17,Shopping,375.8,debit,Credit Card,Walmart
1,32,urban,2020-02-17,Bills,118.6,debit,Credit Card,Verizon
1,32,urban,2020-02-17,Restaurants,50.42,debit,Credit Card,Chipotle
1,32,urban,2020-02-17,Travel,644.13,debit,Credit Card,Delta Airlines
1,32,urban,2020-02-17,Healthcare,364.93,debit,Credit Card,Urgent Care
1,32,urban,2020-02-24,Entertainment,41.35,debit,Credit Card,Spotify
1,32,urban,2020-02-24,Bills,242.81,debit,Credit Card,Comcast
1,32,urban,2020-02-24,Restaurants,149.55,debit,Credit Card,Starbucks
1,32,urban,2020-02-24,Travel,809.45,debit,Credit Card,Lyft
1,32,urban,2020-02-26,Shopping,191.73,debit,Credit Card,Target
1,32,urban,2020-02-26,Entertainment,151.68,debit,Credit Card,Netflix
1,32,urban,2020-02-26,Bills,467.58,debit,Credit Card,Verizon
1,32,urban,2020-02-26,Travel,649.31,debit,Credit Card,Lyft
1,32,urban,2020-02-27,Shopping,347.47,debit,Credit Card,Walmart
1,32,urban,2020-02-27,Entertainment,191.63,debit,Credit Card,Netflix
1,32,urban,2020-02-27,Restaurants,215.6,debit,Credit Card,McDonald's
1,32,urban,2020-02-27,Travel,108.53,debit,Credit Card,Uber
1,32,urban,2020-03-05,Salary,5188.0,credit,Savings,Employer Direct Deposit
1,32,urban,2020-03-12,Shopping,122.26,debit,Credit Card,Target
1,32,urban,2020-03-12,Entertainment,127.73,debit,Credit Card,AMC Theatres
1,32,urban,2020-03-12,Restaurants,176.12,debit,Credit Card,Starbucks
1,32,urban,2020-03-12,Travel,781.09,debit,Credit Card,Uber
1,32,urban,2020-03-14,Shopping,457.7,debit,Credit Card,Walmart
1,32,urban,2020-03-14,Bills,307.92,debit,Credit Card,Verizon
1,32,urban,2020-03-14,Travel,895.52,debit,Credit Card,Delta Airlines
1,32,urban,2020-03-15,Shopping,110.76,debit,Credit Card,Walmart
1,32,urban,2020-03-15,Entertainment,170.91,debit,Credit Card,Netflix
1,32,urban,2020-03-15,Bills,334.46,debit,Credit Card,Eversource
1,32,urban,2020-03-15,Healthcare,391.4,debit,Credit Card,Health Insurance
1,32,urban,2020-03-15,Rent/Mortgage,901.44,debit,Credit Card,Mortgage Company
1,32,urban,2020-03-16,Travel,164.8,debit,Credit Card,Hilton Hotels
1,32,urban,2020-03-20,Shopping,499.16,debit,Credit Card,Target
1,32,urban,2020-03-20,Entertainment,124.36,debit,Credit Card,Netflix
1,32,urban,2020-03-20,Restaurants,210.48,debit,Credit Card,McDonald's
1,32,urban,2020-03-27,Entertainment,43.88,debit,Credit Card,Netflix
1,32,urban,2020-03-27,Bills,453.67,debit,Credit Card,National Grid
1,32,urban,2020-03-27,Restaurants,90.44,debit,Credit Card,Subway
1,32,urban,2020-03-27,Travel,702.6,debit,Credit Card,Hilton Hotels
1,32,urban,2020-03-27,Healthcare,395.37,debit,Credit Card,CVS Pharmacy
1,32,urban,2020-04-05,Salary,5188.0,credit,Savings,Employer Direct Deposit
1,32,urban,2020-04-06,Shopping,324.27,debit,Credit Card,Walmart
1,32,urban,2020-04-06,Bills,430.03,debit,Credit Card,National Grid
1,32,urban,2020-04-06,Restaurants,108.85,debit,Credit Card,Subway
1,32,urban,2020-04-06,Travel,799.76,debit,Credit Card,Uber
1,32,urban,2020-04-06,Rent/Mortgage,1428.68,debit,Credit Card,Landlord Payment
1,32,urban,2020-04-10,Shopping,104.51,debit,Credit Card,Target
1,32,urban,2020-04-10,Bills,381.18,debit,Credit Card,Comcast
1,32,urban,2020-04-14,Shopping,71.57,debit,Credit Card,Best Buy
1,32,urban,2020-04-14,Entertainment,153.79,debit,Credit Card,Netflix
1,32,urban,2020-04-14,Restaurants,50.54,debit,Credit Card,Starbucks
1,32,urban,2020-04-14,Travel,526.75,debit,Credit Card,Uber
1,32,urban,2020-04-14,Healthcare,124.6,debit,Credit Card,CVS Pharmacy
1,32,urban,2020-04-16,Entertainment,94.97,debit,Credit Card,Spotify
1,32,urban,2020-04-16,Restaurants,83.69,debit,Credit Card,Starbucks
1,32,urban,2020-04-19,Shopping,188.02,debit,Credit Card,Amazon
1,32,urban,2020-04-19,Entertainment,151.58,debit,Credit Card,Netflix
1,32,urban,2020-04-19,Bills,478.79,debit,Credit Card,Eversource
1,32,urban,2020-04-19,Restaurants,132.25,debit,Credit Card,Chipotle
1,32,urban,2020-04-19,Travel,156.65,debit,Credit Card,Hilton Hotels
1,32,urban,2020-04-19,Healthcare,367.69,debit,Credit Card,Urgent Care
1,32,urban,2020-04-24,Shopping,272.8,debit,Credit Card,Target
1,32,urban,2020-04-24,Restaurants,222.86,debit,Credit Card,Chipotle
1,32,urban,2020-05-05,Salary,5188.0,credit,Savings,Employer Direct Deposit
1,32,urban,2020-05-07,Bills,225.55,debit,Credit Card,National Grid
1,32,urban,2020-05-07,Restaurants,211.59,debit,Credit Card,McDonald's
1,32,urban,2020-05-07,Healthcare,252.04,debit,Credit Card,Walgreens
1,32,urban,2020-05-07,Rent/Mortgage,1588.97,debit,Credit Card,Mortgage Company
1,32,urban,2020-05-08,Entertainment,153.85,debit,Credit Card,Spotify
1,32,urban,2020-05-08,Bills,405.82,debit,Credit Card,National Grid
1,32,urban,2020-05-08,Travel,592.05,debit,Credit Card,Uber
1,32,urban,2020-05-08,Healthcare,138.52,debit,Credit Card,Walgreens
1,32,urban,2020-05-09,Shopping,296.2,debit,Credit Card,Walmart
1,32,urban,2020-05-09,Entertainment,26.32,debit,Credit Card,AMC Theatres
1,32,urban,2020-05-09,Bills,400.75,debit,Credit Card,Verizon
1,32,urban,2020-05-12,Entertainment,63.29,debit,Credit Card,AMC Theatres
1,32,urban,2020-05-12,Bills,187.05,debit,Credit Card,National Grid
1,32,urban,2020-05-12,Restaurants,87.75,debit,Credit Card,Chipotle
1,32,urban,2020-05-12,Healthcare,229.87,debit,Credit Card,Urgent Care
1,32,urban,2020-05-13,Entertainment,46.72,debit,Credit Card,Spotify
1,32,urban,2020-05-13,Bills,481.01,debit,Credit Card,National Grid
1,32,urban,2020-05-13,Travel,401.37,debit,Credit Card,Delta Airlines
1,32,urban,2020-05-14,Shopping,487.17,debit,Credit Card,Amazon
1,32,urban,2020-05-14,Travel,778.52,debit,Credit Card,Lyft
1,32,urban,2020-05-14,Healthcare,108.14,debit,Credit Card,Walgreens
1,32,urban,2020-05-15,Bills,294.41,debit,Credit Card,Comcast
1,32,urban,2020-05-15,Restaurants,105.17,debit,Credit Card,Subway
1,32,urban,2020-05-15,Travel,310.0,debit,Credit Card,Lyft
